customer_no,total_enq_amt_x,total_enq_amt_y
1030,4713883,15
1031,1582396,22
1032,5416903,26
1033,342000,5
1034,723000,11
1035,481000,10
1036,232000,7
1037,101002000,17
1038,2953000,21
1039,463000,13
1040,4265000,11
1041,64000,6
1042,514000,12
1043,2771001,20
1044,657000,4
1045,202113000,10
1046,701000,11
1047,2505500,16
1048,1531000,7
1049,699001,15
1050,860258,7
1051,3240000,43
1052,362500,12
1053,914000,24
1054,1051000,9
1055,225000,4
1056,1696173,17
1057,150000,5
1058,2195100,22
1059,1576000,14
1060,13568104,37
1061,3460000,4
1062,110000,3
1063,503000,7
1064,184001,7
1065,2544003,42
1066,1324000,15
1067,2957100,9
1068,896000,5
1069,576000,22
1070,363229,11
1071,166000,4
1072,111000,4
1073,13347000,27
1074,1792003,31
1075,532801,4
1076,51000,2
1077,377000,8
1078,4581101,41
1079,111000,2
1080,4445925,20
1081,594000,16
1082,12456990,21
1083,336000,8
1084,1822001,16
1085,200000,2
1086,1277000,12
1087,4289100,24
1088,6478384,60
1089,265000,11
1090,114000,4
1091,529200,8
1092,301900,9
1093,101585000,12
1094,19764902,32
1095,4143502,35
1096,1552000,10
1097,266000,11
1098,971000,9
1099,188100,7
1100,156001,7
1101,519778,16
1102,1331000,15
1103,2321000,9
1104,7510960,24
1105,4743010,14
1106,52000,3
1107,102109000,20
1108,13160000,18
1109,2185500,29
1110,665500,13
1111,179322,7
1112,5079100,31
1113,3636303,41
1114,86000,4
1115,7451150,24
1116,1601200,33
1117,2144703,34
1118,535000,18
1119,737000,8
1120,683001,12
1121,4437401,47
1122,5228103,34
1123,713000,12
1124,16978000,33
1125,453001,13
1126,2352700,21
1127,2611699,30
1128,1212200,13
1129,4771000,12
1130,101000,3
1131,132000,6
1132,1118000,17
1133,1091000,23
1134,2454610,33
1135,394001,6
1136,557600,8
1137,45197302,48
1138,296000,9
1139,172000,6
1140,2973401,42
1141,23642000,19
1142,4971001,22
1143,8058101,45
1144,101087100,17
1145,1010000,15
1146,200000,3
1147,2000000,12
1148,2223995,8
1149,22196200,25
1150,3703000,26
1151,7923000,11
1152,4762200,31
1153,345700,9
1154,39803001,20
1155,461000,3
1156,2150806,25
1157,4205819,21
1158,1682200,26
1159,4338000,32
1160,14299010,35
1161,1779171,19
1162,4109671,26
1163,1275759,23
1164,879000,14
1165,3075000,30
1166,205000,12
1167,1234762,18
1168,87000,6
1169,4524002,34
1170,5609368,12
1171,243000,7
1172,8779178,48
1173,248150,5
1174,3451000,24
1175,678000,11
1176,2984002,22
1177,1262100,27
1178,2942000,21
1179,808885,9
1180,3150905,26
1181,1816000,7
1182,262000,6
1183,388000,12
1184,754000,7
1185,310000,9
1186,183000,8
1187,835500,15
1188,1942000,19
1189,3864204,10
1190,107496500,68
1191,5600000,3
1192,4247451,29
1193,1164001,33
1194,1408241,25
1195,1328001,11
1196,652101,19
1197,247000,9
1198,863011,13
1199,14563152,16
1200,100978201,23
1201,211000,4
1202,6772986,41
1203,450990,10
1204,3805500,29
1205,834914,20
1206,2965301,32
1207,354000,8
1208,1809500,16
1209,542000,12
1210,913100,15
1211,64228,3
1212,4294200,23
1213,104155701,25
1214,621000,10
1215,720000,7
1216,1935100,20
1217,341200,10
1218,6846000,9
1219,902000,7
1220,2721100,16
1221,2925100,31
1222,511000,7
1223,101815100,25
1224,318600,6
1225,1056000,11
1226,301000,7
1227,3551150,41
1228,2000,2
1229,432000,23
1230,5500500,36
1231,193001,6
1232,5018203,32
1233,1988001,18
1234,11569505,20
1235,100701000,9
1236,720000,20
1237,122000,6
1238,280300,11
1239,353891515,76
1240,121000,3
1241,662000,9
1242,1105000,17
1243,957000,14
1244,1041000,8
1245,675000,12
1246,4253000,29
1247,100886000,12
1248,765001,23
1249,109300,4
1250,621000,10
1251,2777101,24
1252,101000,3
1253,30049502,31
1254,1250000,2
1255,14000,5
1256,5349091,45
1257,2387200,22
1258,7600990,43
1259,2099000,10
1260,970500,6
1261,669000,24
1262,428000,8
1263,3925002,10
1264,1050001,18
1265,251000,5
1266,929000,7
1267,659100,26
1268,6138100,25
1269,2201000,5
1270,1022900,14
1271,360000,6
1272,175100,6
1273,102047000,19
1274,683500,11
1275,843699151,66
1276,137112901,95
1277,1134000,9
1278,22540502,24
1279,3124150,38
1280,2089900,7
1281,136000,11
1282,2582000,17
1283,941100,20
1284,193150,8
1285,2276000,29
1286,4642520,25
1287,1583900,21
1288,3856111,20
1289,233000,9
1290,3019601,45
1291,200604000,13
1292,759500,22
1293,100331101,21
1294,3830000,23
1295,9124100,43
1296,5333000,37
1297,134000,5
1298,1940000,9
1299,2740451,28
1300,406334401,138
1301,226470100,31
1302,577651,16
1303,631000,9
1304,1595000,12
1305,485000,17
1306,1024000,20
1307,1246000,16
1308,152000,7
1309,374622,12
1310,8105100,36
1311,98100,5
1312,101000,3
1313,796929,9
1314,338000,9
1315,344330,7
1316,52000,3
1317,467000,13
1318,1285000,20
1319,3387997,36
1320,1229000,12
1321,1749251,28
1322,187000,7
1323,1212000,7
1324,6712010,16
1325,4958500,38
1326,102000,4
1327,395000,5
1328,235000,11
1329,62000,4
1330,50000,1
1331,13464452,33
1332,0,0
1333,241000,7
1334,4103768,21
1335,412000,7
1336,3338683,13
1337,996000,13
1338,119686100,17
1339,218101,5
1340,510000,6
1341,3268610,25
1342,78000,6
1343,201637250,44
1344,435000,3
1345,2117000,6
1346,60000,2
1347,15461000,22
1348,102530749,15
1349,332000,10
1350,636003,17
1351,2653200,30
1352,2252150,25
1353,4039956,19
1354,2793243,35
1355,8459000,15
1356,108450057,58
1357,1695000,16
1358,87000,2
1359,875000,6
1360,473000,12
1361,1274500,15
1362,323610,8
1363,2122001,25
1364,822500,9
1365,6275100,27
1366,509500,6
1367,1376000,14
1368,4012500,5
1369,4883000,40
1370,1736000,10
1371,4272000,23
1372,842000,12
1373,1150000,7
1374,3175000,55
1375,4281150,42
1376,2016000,16
1377,1424006,10
1378,52000,3
1379,1490000,11
1380,3248679,23
1381,3242000,40
1382,802000,10
1383,101000,3
1384,841000,12
1385,110000,3
1386,442000,13
1387,631000,7
1388,10427000,33
1389,4945990,10
1390,1926000,9
1391,171000,6
1392,51000,2
1393,879910,8
1394,2930000,33
1395,4592000,18
1396,313000,8
1397,5875500,23
1398,4823652,32
1399,9760000,31
1400,78466257,73
1401,2526200,27
1402,12304100,39
1403,167000,10
1404,1012000,18
1405,226000,4
1406,17442444,67
1407,16497000,22
1408,2987001,5
1409,1761001,10
1410,226000,7
1411,401300,12
1412,2928650,13
1413,371000,9
1414,1000,1
1415,838000,13
1416,157000,5
1417,743000,12
1418,31192201,31
1419,2767000,17
1420,2479100,33
1421,2750810,15
1422,2298000,17
1423,6771000,8
1424,497000,2
1425,453001,6
1426,2380001,22
1427,102000,4
1428,2118000,10
1429,1836000,10
1430,2360700,30
1431,3897300,15
1432,160000,13
1433,798100,11
1434,5833300,26
1435,417150,8
1436,121100,6
1437,1515000,10
1438,1361100,15
1439,381000,11
1440,375991,10
1441,2350100,29
1442,496000,10
1443,1251910,14
1444,545000,14
1445,971408,13
1446,104127000,35
1447,1915000,20
1448,109702828,49
1449,4668298,43
1450,1163101,8
1451,127969800,57
1452,1293000,7
1453,665338,16
1454,2006000,18
1455,490000,3
1456,205302,13
1457,8165100,22
1458,2341000,9
1459,5462000,25
1460,2005150,23
1461,744350,10
1462,273000,7
1463,281000,7
1464,2317500,18
1465,200302300,9
1466,287000,6
1467,14000,5
1468,7627001,56
1469,121000,5
1470,251000,4
1471,2680196,45
1472,12343801,45
1473,2951000,4
1474,252000,7
1475,540900,8
1476,577001,14
1477,821900,7
1478,2987900,19
1479,715365,12
1480,612100,17
1481,3772001,28
1482,3174001,20
1483,300000,2
1484,5692000,18
1485,260200,6
1486,166000,4
1487,102498900,31
1488,2255001,22
1489,550000,2
1490,2828092,24
1491,4634000,16
1492,456800,10
1493,269300,11
1494,101362100,16
1495,12535000,32
1496,1800000,5
1497,812990,13
1498,513954100,67
1499,4956099,34
1500,1420810,30
1501,7219500,24
1502,7404000,52
1503,147500,10
1504,2358000,20
1505,1398000,17
1506,42000,6
1507,200000,7
1508,34082870,61
1509,13931001,32
1510,2376000,11
1511,136610266,39
1512,1000,1
1513,1011000,7
1514,5413000,20
1515,1280700,11
1516,890000,4
1517,386000,9
1518,111000,4
1519,3160002,14
1520,7901000,15
1521,102110700,31
1522,148800,4
1523,433150,12
1524,296000,9
1525,17453385,23
1526,2305000,9
1527,276000,11
1528,100260354,8
1529,161000,5
1530,2409801,16
1531,361500,12
1532,27053910,24
1533,275000,4
1534,3885200,15
1535,42000,3
1536,18399650,50
1537,23502300,41
1538,311000,7
1539,3230000,17
1540,136990,2
1541,83500,2
1542,3219602,24
1543,100426699,13
1544,51240100,43
1545,1000,1
1546,13093401,56
1547,3340400,26
1548,3897000,9
1549,5063200,35
1550,635000,15
1551,370000,8
1552,152000,11
1553,71000,4
1554,152000,4
1555,416000,12
1556,797000,17
1557,768000,11
1558,973000,15
1559,715100,17
1560,769000,8
1561,815001,12
1562,6182110,14
1563,14408200,46
1564,2955756,25
1565,1082000,10
1566,874000,20
1567,526700,9
1568,4432000,9
1569,407000,12
1570,1068000,20
1571,108437200,32
1572,867650,26
1573,155000,8
1574,159500,4
1575,1693100,18
1576,870000,13
1577,587000,11
1578,2336000,26
1579,150000,3
1580,1086739,9
1581,53000,4
1582,3940000,16
1583,1507000,14
1584,2758734,35
1585,198100,6
1586,3073000,8
1587,7965997,55
1588,252000,5
1589,3476591,25
1590,2252001,20
1591,61000,3
1592,1082400,18
1593,168000,7
1594,209909300,56
1595,16468000,21
1596,6238630,58
1597,810100,7
1598,1306797,18
1599,5980000,19
1600,103665100,31
1601,362100,10
1602,5290650,19
1603,6307000,18
1604,50000,1
1605,0,0
1606,952000,12
1607,107145252,17
1608,223000,8
1609,1160000,6
1610,560004,20
1611,3704000,20
1612,611200,7
1613,1248100,15
1614,61000,3
1615,61000,3
1616,201000,6
1617,2914000,10
1618,380001,8
1619,4185453,25
1620,5797103,24
1621,6264500,15
1622,62000,4
1623,169148900,29
1624,977000,9
1625,753000,11
1626,313000,13
1627,1266000,10
1628,1796380,13
1629,2037000,10
1630,3507000,24
1631,1221000,18
1632,1039000,12
1633,1942000,18
1634,225000,4
1635,221000,8
1636,2125150,5
1637,11322010,30
1638,10022000,14
1639,1019000,9
1640,4107100,30
1641,1721000,13
1642,212650,7
1643,162000,6
1644,103498101,34
1645,0,0
1646,4345000,7
1647,101722150,23
1648,912010,21
1649,504000,14
1650,3012000,4
1651,1683829,17
1652,3471997,24
1653,1636630,34
1654,4548990,31
1655,3456826,24
1656,15011341,44
1657,709000,15
1658,104955716,33
1659,2505098,18
